"","Short","Description","Code_snippet"
"1",1,"Lastbilar|Antal avregistreringar|Antal avställda|Antal i trafik|Antal nyregistreringar|År","T10013|avregunder|avstslut|itrfslut|nyregunder|ar"
"2",2,"Lastbilar|Antal i trafik|År|Huvudgrupp|Totalvikt i kg","T10013|itrfslut|ar|karosslbh|totvikt"
"3",3,"Lastbilar|Antal nyregistreringar|År|Direkt import","T10013|nyregunder|ar|dimpo"
"4",4,"Lastbilar|Antal avregistreringar|År|Avregistreringsorsak","T10013|avregunder|ar|avregform"
"5",5,"Lastbilar|Antal avställda|Antal i trafik|Antal nyregistreringar|År|Lastbilstyp","T10013|avstslut|itrfslut|nyregunder|ar|fslag"
"6",6,"Lastbilar|Antal avställda|Antal i trafik|År|Huvudgrupp","T10013|avstslut|itrfslut|ar|karosslbh"
"7",7,"Lastbilar|Antal avställda|Antal i trafik|Antal nyregistreringar|År|Huvudgrupp","T10013|avstslut|itrfslut|nyregunder|ar|karosslbh"
"8",8,"Lastbilar|Antal avställda|Antal i trafik|År|Huvudgrupp|Undergrupp","T10013|avstslut|itrfslut|ar|karosslbh|karosslbu"
"9",9,"Lastbilar|Antal avställda|Antal i trafik|Antal nyregistreringar|År|Huvudgrupp|Undergrupp","T10013|avstslut|itrfslut|nyregunder|ar|karosslbh|karosslbu"
"10",10,"Lastbilar|Antal i trafik|År|Maximilastvikt i kg","T10013|itrfslut|ar|maxlv"
"11",11,"Lastbilar|Antal i trafik|År|Huvudgrupp|Maximilastvikt i kg","T10013|itrfslut|ar|karosslbh|maxlv"
"12",12,"Lastbilar|Antal i trafik|År|Huvudgrupp|Undergrupp|Maximilastvikt i kg","T10013|itrfslut|ar|karosslbh|karosslbu|maxlv"
"13",13,"Lastbilar|Antal i trafik|År|Totalvikt i kg","T10013|itrfslut|ar|totvikt"
"14",14,"Lastbilar|Antal i trafik|År|Lastbilstyp|Huvudgrupp","T10013|itrfslut|ar|fslag|karosslbh"
"15",15,"Lastbilar|År|Lastbilstyp|Huvudgrupp","T10013|ar|fslag|karosslbh"
"16",16,"Lastbilar|Antal i trafik|År|Lastbilstyp|Huvudgrupp|Undergrupp","T10013|itrfslut|ar|fslag|karosslbh|karosslbu"
"17",17,"Lastbilar|Antal i trafik|År|Huvudgrupp|Undergrupp|Totalvikt i kg","T10013|itrfslut|ar|karosslbh|karosslbu|totvikt"
"18",18,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|År","T10013|itrfslut|agarkat|ar"
"19",19,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|År|Leasing","T10013|itrfslut|agarkat|ar|leasing"
"20",20,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Tillstånd|År","T10013|itrfslut|agarkat|tillst|ar"
"21",21,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Tillstånd|År|Leasing","T10013|itrfslut|agarkat|tillst|ar|leasing"
"22",22,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|År|Lastbilstyp","T10013|itrfslut|agarkat|ar|fslag"
"23",23,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Tillstånd|År|Lastbilstyp","T10013|itrfslut|agarkat|tillst|ar|fslag"
"24",24,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Ägarens näringsgrenstillhörighet enligt SNI 2007|År","T10013|itrfslut|agarkat|bransch|ar"
"25",25,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Ägarens näringsgrenstillhörighet enligt SNI 2007|År|Lastbilstyp","T10013|itrfslut|agarkat|bransch|ar|fslag"
"26",26,"Lastbilar|Antal i trafik|År|Drivmedel|Lastbilstyp","T10013|itrfslut|ar|drivm|fslag"
"27",27,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Kön|År","T10013|itrfslut|agarkat|kon|ar"
"28",28,"Lastbilar|Antal i trafik|Ägarkategori|Ägarkategori|Ägarkategori|Kön|År|Lastbilstyp","T10013|itrfslut|agarkat|kon|ar|fslag"
