Short,Code_snippet
1,T10092|anttrf|korstr|mkorstr|ar
2,T10092|mkorstr|ar
3,T10092|anttrf|korstr|mkorstr|ar|fordalder
4,T10092|anttrf|korstr|mkorstr|ar|fordkat
5,T10092|mkorstr|ar|fordkat
6,T10092|anttrf|korstr|mkorstr|ar|fordalder|fordkat
7,T10092|mkorstr|ar|fordkat|reglan
8,T10092|anttrf|korstr|mkorstr|ar|karosslbh
9,T10092|anttrf|korstr|mkorstr|ar|karosslbh|karosslbu
10,T10092|anttrf|korstr|mkorstr|ar|maxlv
11,T10092|mkorstr|ar|reglan
12,T10092|anttrf|korstr|mkorstr|ar|totvikt
13,T10092|anttrf|gdkor|korstr|mkorstr|ar|fordalder
14,T10092|anttrf|gdkor|korstr|mkorstr|ar
