Short,Code_snippet
1,T10061|godsm|godsmki|trparbete|trparbeteki|ar|kortyp|godstyp
2,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|riktningh|godstyp
3,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|riktningh|godstyp|adrklass
4,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|ar|kortyp|riktningh|godstyp|adrklass
5,T10061|anttrp|godsm|kordakm|trparbete|ar|kortyp|riktningh|trpavst2
6,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|riktningh|riktningu|trpavst3
7,T10061|anttrp|godsm|kordakm|trparbete|ar|kortyp|riktningh|trpavst2|varugrupp
8,T10061|anttrp|godsm|kordakm|ar|kortyp|riktningh|trpavst2|varugrupp
9,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|ar|kortyp|riktningh|varugrupp
10,T10061|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|riktningh|varugrupp
11,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|ar|kortyp|riktningh|varugrupp|varuslag
12,T10061|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|riktningh|varugrupp|varuslag
13,T10061|godsm|godsmki|trparbete|ar|kortyp|riktningh|riktningu|varugrupp|varuslag
14,T10061|godsm|godsmki|ar|kortyp|riktningh|riktningu|varugrupp|varuslag
15,T10061|godsm|godsmki|trparbete|ar|kortyp|riktningh|riktningu|varugrupp
16,T10061|godsmki|ar|kortyp|riktningh|riktningu|varugrupp
17,T10061|ar|kortyp|riktningh|riktningu|varugrupp
18,T10061|godsm|godsmki|ar|kortyp|plan|riktningh
19,T10061|godsm|godsmki|ar|kortyp|pstorstad|riktningh
20,T10061|godsm|godsmki|alan|ar|kortyp|riktningh
21,T10061|godsm|godsmki|astorstad|ar|kortyp|riktningh
22,T10061|godsm|trparbete|alan|ar|kortyp|plan|riktningh
23,T10061|godsm|alan|ar|kortyp|plan|riktningh
24,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|alandgrp|ar|kortyp|riktningh|riktningu
25,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|alandgrp|aland|ar|kortyp|riktningh|riktningu
26,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|plandgrp|riktningh|riktningu
27,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|plandgrp|pland|riktningh|riktningu
28,T10061|godsm|godsmki|trparbete|trparbeteki|aregion|ar|kortyp|plandgrp|riktningh|riktningu
29,T10061|godsm|godsmki|trparbete|trparbeteki|aregion|ar|kortyp|plandgrp|pland|riktningh|riktningu
30,T10061|godsm|godsmki|trparbete|trparbeteki|alandgrp|ar|kortyp|pregion|riktningh|riktningu
31,T10061|godsm|godsmki|trparbete|trparbeteki|alandgrp|aland|ar|kortyp|pregion|riktningh|riktningu
32,T10061|godsm|trparbete|alandgrp|ar|kortyp|riktningh|riktningu|varugrupp
33,T10061|alandgrp|ar|kortyp|riktningh|riktningu|varugrupp
34,T10061|godsm|alandgrp|ar|kortyp|riktningh|riktningu|varugrupp
35,T10061|godsm|trparbete|alandgrp|aland|ar|kortyp|riktningh|riktningu|varugrupp
36,T10061|alandgrp|aland|ar|kortyp|riktningh|riktningu|varugrupp
37,T10061|godsm|alandgrp|aland|ar|kortyp|riktningh|riktningu|varugrupp
38,T10061|godsm|trparbete|ar|kortyp|plandgrp|riktningh|riktningu|varugrupp
39,T10061|godsm|ar|kortyp|plandgrp|riktningh|riktningu|varugrupp
40,T10061|godsm|trparbete|ar|kortyp|plandgrp|pland|riktningh|riktningu|varugrupp
41,T10061|godsm|ar|kortyp|plandgrp|pland|riktningh|riktningu|varugrupp
42,T10061|godsm|kordakm|trparbete|ar|kortyp|lasttyp|riktningh
43,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|riktningh|riktningu
