Short,Code_snippet
1,T10062|godsm|godsmki|trparbete|trparbeteki|ar|kvartal|godstyp
2,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|ar|kortyp|kvartal|riktningh|varugrupp
3,T10062|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|kvartal|riktningh|varugrupp
4,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|ar|kortyp|kvartal|riktningh|varugrupp|varuslag
5,T10062|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|kvartal|riktningh|varugrupp|varuslag
6,T10062|godsm|godsmki|ar|kortyp|kvartal|plan|riktningh
7,T10062|godsm|godsmki|ar|kortyp|kvartal|pstorstad|riktningh
8,T10062|godsm|godsmki|alan|ar|kortyp|kvartal|riktningh
9,T10062|godsm|godsmki|astorstad|ar|kortyp|kvartal|riktningh
10,T10062|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kvartal|riktningh|riktningu
11,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|kvartal|riktningh|trftyp
12,T10062|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|kvartal|riktningh|trftyp
13,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kvartal|riktningh
14,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|kvartal|riktningh
15,T10062|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|kvartal|riktningh
16,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kvartal
17,T10062|godsm|godsmki|trparbete|trparbeteki|ar|kortyp|kvartal|godstyp
18,T10062|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbete|trparbeteki|ar|kvartal|riktningh|riktningu
