Short,Code_snippet
1,T10094|anttrf|korstr|mkorstr|ar
2,T10094|mkorstr|ar
3,T10094|anttrf|korstr|mkorstr|agarkat|agarkat|ar
4,T10094|mkorstr|agarkat|agarkat|ar
5,T10094|anttrf|korstr|mkorstr|agarkat|agarkat|ar|drivm
6,T10094|anttrf|korstr|mkorstr|agarkat|agarkat|ar|fordalder
7,T10094|anttrf|korstr|mkorstr|agarkat|agarkat|ftgtyp|ar
8,T10094|anttrf|korstr|mkorstr|agarkat|agarkat|kon|ar
9,T10094|mkorstr|agarkat|agarkat|kon|ar
10,T10094|anttrf|korstr|mkorstr|agarkat|agarkat|ar|tjvikt
11,T10094|anttrf|korstr|mkorstr|ar|drivm
12,T10094|anttrf|korstr|mkorstr|ar|fordalder
13,T10094|anttrf|korstr|mkorstr|ar|fordkat
14,T10094|mkorstr|ar|reglan
15,T10094|anttrf|korstr|mkorstr|ar|tjvikt
16,T10094|anttrf|gdkor|korstr|mkorstr|ar|fordalder
17,T10094|anttrf|gdkor|korstr|mkorstr|ar
