Short,Code_snippet
1,T08091|rorkost|ar|slagh|slagu|naring|sjofar
2,T08091|rorkost|rorkostki|ar|slagh|slagu|naring|sjofar
3,T08091|rorkost|ar|slagh|naring|sjofar
4,T08091|rorkost|rorkostki|ar|slagh|naring|sjofar
5,T08091|rorkost|rorkostki|ar|slagh|sjofar
6,T08091|rorkost|ar|slagh|sjofar
7,T08091|rorkost|rorkostki|ar|slagh|slagu|sjofar
8,T08091|rorkost|ar|slagh|slagu|sjofar
9,T08091|antansta|antfortag|avkaskapital|avkasttotalt|brutton|foranstalld|forvarde|kaskviditet|netanstald|netomsat|netton|rormarginal|rorresul|soliditet|sumtillg|ar|sjofar
10,T08091|antansta|antfortag|avkaskapital|avkasttotalt|brutton|foranstalld|forvarde|kaskviditet|netanstald|netomsat|netton|rorkost|rormarginal|rorresul|soliditet|sumtillg|ar|sjofar
11,T08091|netomsat|netomsatki|ar|intakslag|sjofar
12,T08091|netomsat|ar|intakslag|sjofar
13,T08091|netomsat|ar|intakslag|kundkat|sjofar
14,T08091|netomsat|ar|intakslag|naring|sjofar
15,T08091|netomsat|netomsatki|ar|intakslag|naring|sjofar
16,T08091|netomsat|ar|kundkat|sjofar
17,T08091|antansta|antfortag|avkaskapital|avkasttotalt|brutton|foranstalld|forvarde|kaskviditet|netanstald|netomsat|netton|rorkost|rormarginal|rorresul|soliditet|sumtillg|ar|naring|sjofar
18,T08091|antansta|antfortag|avkaskapital|avkasttotalt|brutton|foranstalld|forvarde|kaskviditet|netanstald|netomsat|netton|rormarginal|rorresul|soliditet|sumtillg|ar|sjofar|stor
19,T08091|resltat|ar|sjofar|typresult
20,T08091|resltat|ar|naring|sjofar|typresult
21,T08091|balans|ar|sjofar|vbalans
22,T08091|balans|ar|naring|sjofar|vbalans
23,T08091|antansta|antfortag|avkaskapital|avkasttotalt|brutton|foranstalld|forvarde|kaskviditet|netanstald|netomsat|netton|rormarginal|rorresul|soliditet|sumtillg|agare|ar|sjofar
