Short,Code_snippet
1,T0802|kryss|pax|ar
2,T0802|godsvikt|kryss|pax|ar
3,T0802|godsvikt|ar|aland|godhant|mland
4,T0802|godsvikt|ar|aland|mland
5,T0802|godsvikt|ar|alandgrp|mlandgrp
6,T0802|godsvikt|ar|alandgrp|godhant|mlandgrp
7,T0802|antalfar|bruttodr|ar|fartrikt|typh
8,T0802|antalfar|bruttodr|ar|fartrikt
9,T0802|antalfar|ar|fartrikt|skeppstyp
10,T0802|antalfar|ar|fartrikt|typh|skeppstyp
11,T0802|antalfar|bruttodr|ar|fartrikt|typvag
12,T0802|godsvikt|ar|godsrikt
13,T0802|godsvikt|ar|aland|godsrikt
14,T0802|godsvikt|ar|aland|godhant|godsrikt
15,T0802|godsvikt|ar|alandgrp|godsrikt
16,T0802|godsvikt|ar|alandgrp|godhant|godsrikt
17,T0802|godsvikt|ar|godsrikt|lastyph
18,T0802|godsvikt|ar|godsrikt|lastyph|lastu
19,T0802|godsvikt|ar|godsrikt|mland
20,T0802|godsvikt|ar|godhant|godsrikt|mland
21,T0802|godsvikt|ar|godsrikt|nuts
22,T0802|godsvikt|ar|godsrikt|typh
23,T0802|godsvikt|trparb|ar|godsrikt|typh
24,T0802|godsvikt|langd|trparb|ar|godsrikt|typh
25,T0802|godsvikt|ar|godsrikt|mlandgrp
26,T0802|godsvikt|ar|lastyph
27,T0802|godsvikt|ar|geomr|godsrikt|lastyph
28,T0802|godsvikt|ar|lastyph|lastu
29,T0802|antcont|ar|geomr|godsrikt|lastyph|lastu
30,T0802|antcont|ar|godsrikt|lastyph|lastu
31,T0802|godsvikt|ar|godhant|godsrikt|mlandgrp
32,T0802|godsvikt|ar|nuts
33,T0802|godsvikt|ar|godsrikt|lastyph|nuts
34,T0802|godsvikt|ar|lastyph|lastu|nuts
35,T0802|godsvikt|ar|godsrikt|lastyph|lastu|nuts
36,T0802|godsvikt|ar|lastyph|nuts
37,T0802|godsvikt|pax|ar|paxland
38,T0802|godsvikt|ar|godsrikt|paxland
39,T0802|pax|ar|passrikt|paxland
40,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|bruttodr|pax|ar|aland|fartrikt|typh|typu|skeppstyp
41,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|pax|ar|aland|fartrikt|typh|typu|skeppstyp
42,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|bruttodr|pax|ar|aland|fartrikt|typh|typu|skeppstyp|starthamn
43,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|pax|ar|aland|fartrikt|typh|typu|skeppstyp|starthamn
44,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|pax|ar|aland|fartrikt|typh|typu|skeppstyp|sluthamn|starthamn
45,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|bruttodr|pax|ar|fartrikt|mland|typh|typu|skeppstyp
46,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|pax|ar|fartrikt|mland|typh|typu|skeppstyp
47,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|pax|ar|fartrikt|mland|typh|typu|skeppstyp|sluthamn|starthamn
48,T0802|godsvikt|ar|fartrikt|lastyph|typh|typu|skeppstyp
49,T0802|godsvikt|ar|fartrikt|lastyph|lastu|typh|typu|skeppstyp
50,T0802|pax|ar|swehamnpax
51,T0802|godsvikt|paskm|pax|trparb|ar|typh
52,T0802|godsvikt|ar|fgomr|godhant|godsrikt|typh
53,T0802|godsvikt|ar|fgomr|tgomr|godhant|godsrikt|typh
54,T0802|godsvikt|ar|fgomr|tgomr|godsrikt|typh
55,T0802|godsvikt|ar|godsrikt|lastyph|lastu|typh
56,T0802|godsvikt|ar|geomr|godsrikt|typh
57,T0802|pax|ar|passrikt|typh
58,T0802|pax|ar|typh|starthamn
59,T0802|pax|ar|typh|sluthamn|starthamn
60,T0802|trparb|ar|typh|svkust
61,T0802|trparb|ar|typh|svkust|vatvag
62,T0802|godsvikt|ar|tgomr|godhant|godsrikt|typh
63,T0802|paskm|trparb|ar|typh|typu
64,T0802|antalfar|bruttodr|paskm|pax|trparb|ar|typh|typu
65,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|bruttodr|paskm|pax|trparb|ar|typh|typu
66,T0802|godsvikt|langd|trparb|ar|typh|varah
67,T0802|godsvikt|ar|aland|godsrikt|typh|varah
68,T0802|godsvikt|ar|alandgrp|godsrikt|typh|varah
69,T0802|godsvikt|ar|geomr|godsrikt|typh|varah
70,T0802|godsvikt|langd|trparb|ar|godsrikt|typh|varah
71,T0802|godsvikt|ar|godsrikt|typh|varah
72,T0802|godsvikt|ar|godsrikt|mland|typh|varah
73,T0802|godsvikt|ar|godsrikt|mlandgrp|typh|varah
74,T0802|godsvikt|langd|trparb|ar|typh|varah|varau
75,T0802|godsvikt|ar|aland|godsrikt|typh|varah|varau
76,T0802|godsvikt|ar|alandgrp|godsrikt|typh|varah|varau
77,T0802|godsvikt|ar|geomr|godsrikt|typh|varah|varau
78,T0802|godsvikt|langd|trparb|ar|godsrikt|typh|varah|varau
79,T0802|godsvikt|ar|godsrikt|typh|varah|varau
80,T0802|godsvikt|ar|godsrikt|mland|typh|varah|varau
81,T0802|godsvikt|ar|godsrikt|mlandgrp|typh|varah|varau
82,T0802|godsvikt|langd|trparb|ar|godsrikt|typvag
83,T0802|godsvikt|ar|godsrikt|typvag|varah
84,T0802|godsvikt|ar|godsrikt|typvag|varah|varau
85,T0802|antalfar|bruttodr|pax|ar|aland|fartrikt|flag|typh|typu|starthamn
86,T0802|antalfar|bruttodr|pax|ar|fartrikt|flag|mland|typh|typu|sluthamn
87,T0802|godsvikt|ar|aland|fartrikt|lastyph|lastu|typh|typu|skeppstyp|sluthamn|starthamn
88,T0802|godsvikt|ar|fartrikt|lastyph|lastu|mland|typh|typu|skeppstyp|sluthamn|starthamn
89,T0802|godsvikt|ar|aland|fartrikt|lastyph|lastu|typh|typu|skeppstyp
90,T0802|godsvikt|ar|fartrikt|lastyph|lastu|mland|typh|typu|skeppstyp
91,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|bruttodr|pax|ar|fartrikt|mland|typh|typu|skeppstyp|sluthamn
92,T0802|antalfar|antbil|antbuss|antjarnv|antlastf|pax|ar|fartrikt|mland|typh|typu|skeppstyp|sluthamn
93,T0802|godsvikt|ar|aland|fartrikt|lastyph|typh|typu|skeppstyp|starthamn
94,T0802|godsvikt|ar|fartrikt|lastyph|mland|typh|typu|skeppstyp|sluthamn
95,T0802|godsvikt|ar|aland|fartrikt|lastyph|typh|typu|skeppstyp
96,T0802|godsvikt|ar|fartrikt|lastyph|mland|typh|typu|skeppstyp
97,T0802|antalfar|bruttodr|pax|ar|alandgrp|fartrikt|flag|typh|typu|skeppstyp
98,T0802|antalfar|bruttodr|pax|ar|fartrikt|flag|mlandgrp|typh|typu|skeppstyp
99,T0802|antalfar|bruttodr|pax|ar|aland|fartrikt|flag|typh|typu|skeppstyp
100,T0802|pax|ar|aland|fartrikt|flag|typh|typu|skeppstyp
101,T0802|antalfar|bruttodr|pax|ar|alandgrp|fartrikt|typh|typu|skeppstyp
102,T0802|antalfar|bruttodr|pax|ar|fartrikt|flag|mland|typh|typu|skeppstyp
103,T0802|antalfar|bruttodr|pax|ar|fartrikt|mlandgrp|typh|typu|skeppstyp
104,T0802|godsvikt|ar|aland|fartrikt|lastyph|lastu|typh|typu|skeppstyp|starthamn
105,T0802|godsvikt|ar|aland|fartrikt|lastyph|typh|typu|skeppstyp|sluthamn|starthamn
106,T0802|godsvikt|ar|fartrikt|lastyph|lastu|mland|typh|typu|skeppstyp|sluthamn
107,T0802|godsvikt|ar|fartrikt|lastyph|mland|typh|typu|skeppstyp|sluthamn|starthamn
