"","Short","Description","Code_snippet"
"1",1,"Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande","T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank"
"2",2,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande","T1102|varde|vardeki|vikt|viktki|ar|avgank"
"3",3,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Till län","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|tlan"
"4",4,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Till län","T1102|varde|vardeki|vikt|viktki|ar|avgank|tlan"
"5",5,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från län|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|flan|riktning"
"6",6,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning"
"7",7,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning","T1102|varde|vardeki|vikt|viktki|ar|avgank|riktning"
"8",8,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|Antal anställda|År|Avgående/Ankommande","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|anstallda|ar|avgank"
"9",9,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändarland/-region","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|avslan"
"10",10,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändarland/-region","T1102|varde|vardeki|vikt|viktki|ar|avgank|avslan"
"11",11,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|avsr"
"12",12,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region","T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr"
"13",13,"Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Bransch (SNI2007)","T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank|bransch"
"14",14,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Bransch (SNI2007)","T1102|varde|vardeki|vikt|viktki|ar|avgank|bransch"
"15",15,"Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Bransch (SNI2007)|undergrupp av bransch (SNI2007)","T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank|bransch|b2"
"16",16,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Bransch (SNI2007)|undergrupp av bransch (SNI2007)","T1102|varde|vardeki|vikt|viktki|ar|avgank|bransch|b2"
"17",17,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från län","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|flan"
"18",18,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från län","T1102|varde|vardeki|vikt|viktki|ar|avgank|flan"
"19",19,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region","T1102|varde|vardeki|vikt|viktki|ar|avgank|freg"
"20",20,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region|Från land","T1102|varde|vardeki|vikt|viktki|ar|avgank|freg|fland"
"21",21,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region|Mottagande NUTS II region","T1102|varde|vardeki|vikt|viktki|ar|avgank|freg|mottr"
"22",22,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Lasttyp","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|lasttyp"
"23",23,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Lasttyp","T1102|varde|vardeki|vikt|viktki|ar|avgank|lasttyp"
"24",24,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagande NUTS II region","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|mottr"
"25",25,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagande NUTS II region","T1102|varde|vardeki|vikt|viktki|ar|avgank|mottr"
"26",26,"Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region|Från land|Mottagande NUTS II region","T1102|varde|vardeki|vikt|viktki|ar|avgank|freg|fland|mottr"
"27",27,"Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Varugrupp (NST)","T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank|nst"
"28",28,"Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Varugrupp (NST)|Varuslag","T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank|nst|nst2"
"29",29,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|Antal anställda|År|Avgående/Ankommande|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|anstallda|ar|avgank|riktning"
"30",30,"Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Riktning","T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|avsr|riktning"
